ts_code,name,list_date,list_status,total_mv,popularity_ranking
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
301025.SZ,读客文化,2021-07-19 00:00:00,L,443943.1246,68
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300238.SZ,冠昊生物,2011-07-06 00:00:00,L,392430.4375,72
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
300198.SZ,纳川股份,2011-04-07 00:00:00,L,307401.4649,79
